artist,country,lineage
Lena Park,South Korean,Asian
So Chan-whee,South Korean,Asian
1TYM,South Korean,Asian
DickPunks,South Korean,Asian
Wonder Boyz,South Korean,Asian
Kim Jung-woo,South Korean,Asian
Kim Yoon-ji,South Korean,Asian
2NB,South Korean,Asian
Koreana ,South Korean,Asian
Kim Tae-won,South Korean,Asian
Kang San-ae,South Korean,Asian
Category:S.E.S.,South Korean,Asian
Nayeon,South Korean,Asian
Eastern Sidekick,South Korean,Asian
Sorn,South Korean,Asian
TRCNG,South Korean,Asian
Cherry Bullet,South Korean,Asian
Rhythm Power,South Korean,Asian
Uptown,South Korean,Asian
Category:VIXX members,South Korean,Asian
Kim Sun-woong,South Korean,Asian
Momo Hirai,South Korean,Asian
Big Bang ,South Korean,Asian
V.O.S,South Korean,Asian
Category:Teen Top members,South Korean,Asian
Brown Eyes,South Korean,Asian
Park Sang-min,South Korean,Asian
BtoB,South Korean,Asian
Boyfriend,South Korean,Asian
Clon,South Korean,Asian
The East Light,South Korean,Asian
Lee Young-ji,South Korean,Asian
Ash Island,South Korean,Asian
Bae Seul-ki,South Korean,Asian
Henry Lau,South Korean,Asian
Soohyun & Hoon,South Korean,Asian
BamBam,South Korean,Asian
Phantom,South Korean,Asian
Dawon,South Korean,Asian
Mina ,South Korean,Asian
Nasty Nasty,South Korean,Asian
Hana,South Korean,Asian
We Girls,South Korean,Asian
Lee Tae-min,South Korean,Asian
10cm,South Korean,Asian
Uptown 3000,South Korean,Asian
Verbal Jint,South Korean,Asian
Niel ,South Korean,Asian
Gray ,South Korean,Asian
Loptimist,South Korean,Asian
Kang In-soo,South Korean,Asian
Stony Skunk,South Korean,Asian
Lee Jin-kwon,South Korean,Asian
Kim Jong-seo ,South Korean,Asian
Chen ,South Korean,Asian
Battle,South Korean,Asian
Jung Il-hoon,South Korean,Asian
Category:Uni.T members,South Korean,Asian
Dreamcatcher ,South Korean,Asian
4Minute,South Korean,Asian
Kim Jae-hwan,South Korean,Asian
Mink ,South Korean,Asian
2BiC,South Korean,Asian
